username,Total Interaction Time,Interaction Frequency,Interaction Diversity,Interaction Depth,Engagement Score,Engagement Level
Alexia Silva,0.16309408134282938,0.3333333333333333,1.0,0.07034792512840346,0.16360110662602825,1
Amanda Dias,0.20310080830299082,0.3333333333333333,1.0,0.2313841789697633,0.20353054336725765,2
Ana Clara Monteiro,0.8422020650699924,0.8333333333333334,1.0,0.9623493004964216,0.8422332343839244,3
Ana Sophia Nunes,0.20925651073644197,0.3333333333333333,1.0,0.2561622934261706,0.20967435341098056,2
André Pacheco,0.6907840645788176,0.6666666666666666,1.0,0.9649667977564308,0.6908283318586619,3
Arthur Castro,0.8471538551888353,0.8333333333333334,1.0,0.9723153460984677,0.8471713463211548,3
Augusto Vargas,0.38328991062752926,0.6666666666666666,1.0,0.22232609116111154,0.3841324948960265,2
Bruno Freitas,0.0056244861349876675,0.0,1.0,0.06791954097092383,0.005632300950108343,1
Camila Pereira,0.1613669610156642,0.3333333333333333,1.0,0.0633958695979198,0.161877322975426,1
Catarina Vieira,0.29478500421769727,0.5,1.0,0.2305218876926052,0.2954169656942514,2
Cecilia Lopes,0.8453733462889603,0.8333333333333334,1.0,0.9687318677067885,0.845395755667714,3
Daniela das Neves,0.16590498969600548,0.3333333333333333,1.0,0.08166247609223555,0.1664065844994195,1
Eloah Montenegro,0.11159813353549806,0.16666666666666666,1.0,0.23420475791373851,0.11182579797878955,2
Ester Gomes,0.19680095672322295,0.3333333333333333,1.0,0.20602583113059555,0.19724286266336083,2
Felipe Aragão,0.37349043810662763,0.3333333333333333,1.0,0.9172415275181052,0.37359099223578857,3
Gabriel Mendes,0.2003566356657021,0.3333333333333333,1.0,0.2203382545720242,0.20079167228098396,2
Gael Henrique Dias,0.39405037745720906,0.3333333333333333,1.0,1.0,0.3941112112109636,3
Hellena Abreu,0.8562005488345275,0.8333333333333334,1.0,0.990522854748243,0.8561930505558035,3
Henry Gabriel Leão,0.29071412554856757,0.5,1.0,0.21823222229385592,0.29135564178574397,2
Isaque Rios,0.0946472617001057,0.16666666666666666,1.0,0.13185803623235112,0.09489359907262226,1
José Barbosa,0.11651789051071508,0.16666666666666666,1.0,0.26390948359228933,0.11674013539360314,2
João Felipe Sales,0.8308222907968779,0.8333333333333334,1.0,0.9394461994713427,0.830884894120629,3
João Vitor Sousa,0.010274630818019711,0.0,1.0,0.12407323834697959,0.010288906671555296,1
Liam Albuquerque,0.5422944273007806,0.5,1.0,0.9777335439365611,0.5423454593315057,3
Lucas Gabriel Vieira,0.40611085603237485,0.6666666666666666,1.0,0.2774418154857842,0.40689419251297215,2
Maria Liz Carvalho,0.3055161073323866,0.5,1.0,0.2629182515634066,0.306122881833399,2
Marina Câmara,0.3950807769105101,0.6666666666666666,1.0,0.25080265617948544,0.3958927497064194,2
Marina Mendes,0.08440733345434744,0.16666666666666666,1.0,0.07003094578041397,0.0846649510404872,1
Mathias Pastor,0.38136525258133747,0.6666666666666666,1.0,0.21767777706144031,0.38221283365122394,2
Miguel Cunha,0.11473204275356903,0.16666666666666666,1.0,0.253126813229321,0.11495625491041796,2
Natália Vargas,0.3779296979274556,0.6666666666666666,1.0,0.20938043968796338,0.3787861983917774,2
Pietra Dias,0.8451891557131112,0.8333333333333334,1.0,0.9683611630455804,0.8452120738759787,3
Pietra Macedo,0.6746874099067836,0.6666666666666666,1.0,0.9260911611114693,0.6747734673563598,3
Rafael Casa Grande,0.20429938176032802,0.3333333333333333,1.0,0.23620871209679142,0.20472680126388887,2
Rafael Nunes,0.2934796536149403,0.5,1.0,0.22658113596802273,0.2941146788803103,2
Ravi Pereira,0.38264123946910406,0.6666666666666666,1.0,0.2207594610276577,0.38348550781906815,2
Rebeca Montenegro,0.9938870084247168,1.0,1.0,0.960940162281146,0.9939046192809688,3
Rebeca Pacheco,0.8308169519396068,0.8333333333333334,1.0,0.9394354544086989,0.8308795700107235,3
Renan Garcia,0.10246601817347015,0.16666666666666666,1.0,0.17906646895751405,0.10270374247359296,2
Renan Marques,0.0,0.0,1.0,0.0,0.0,1
Renan Nunes,1.0,1.0,1.0,0.9714856737614781,1.0,3
Sarah Correia,0.21206474966098257,0.3333333333333333,1.0,0.26746609932735915,0.21247716701288707,2
Sarah Moraes,0.2066431401022925,0.3333333333333333,1.0,0.24564287709797342,0.20706603162745726,2
Stephany da Cunha,0.08670037265223751,0.16666666666666666,1.0,0.08387595899684089,0.08695546424684904,1
Thales Guerra,0.20485462291651094,0.3333333333333333,1.0,0.23844368512668435,0.20528096973270687,2
Thomas Freitas,0.6948629515338537,0.6666666666666666,1.0,0.974817871188189,0.6948966291985489,3
Valentina Rodrigues,0.007242159888097552,0.0,1.0,0.08745406485719809,0.007252222343447521,1
Vitor Borges,0.40370570083179397,0.6666666666666666,1.0,0.27163303462059185,0.4044952815815336,2
Yago Sales,0.39550521606355377,0.6666666666666666,1.0,0.251827735155696,0.3963160869296144,2
Yan Almeida,0.3963167223687442,0.6666666666666666,1.0,0.25378763458190967,0.39712548640037726,2
