username,engagement_level,timestamp,activity_type,room,object,duration,details
João Vitor Sousa,1,2024-01-02 00:01:43,movement,Auditorium,,00:01:43,Moved to Auditorium
João Vitor Sousa,1,2024-01-02 00:02:37,interaction,Auditorium,Screen,00:00:54,Interacted with Screen
João Vitor Sousa,1,2024-01-03 00:00:56,interaction,Auditorium,Screen,00:00:56,Interacted with Screen
João Vitor Sousa,1,2024-01-04 00:00:59,interaction,Auditorium,Chair1,00:00:59,Interacted with Chair1
João Vitor Sousa,1,2024-01-07 00:00:59,interaction,Auditorium,Hand,00:00:59,Interacted with Hand
João Vitor Sousa,1,2024-01-09 00:03:13,movement,Classroom,,00:03:13,Moved from Auditorium to Classroom
João Vitor Sousa,1,2024-01-09 00:04:00,interaction,Classroom,Book,00:00:47,Interacted with Book
João Vitor Sousa,1,2024-01-11 00:02:58,movement,Café,,00:02:58,Moved from Classroom to Café
João Vitor Sousa,1,2024-01-11 00:04:09,interaction,Café,Table,00:01:11,Interacted with Table
João Vitor Sousa,1,2024-01-12 00:02:58,movement,Auditorium,,00:02:58,Moved from Café to Auditorium
João Vitor Sousa,1,2024-01-12 00:04:05,interaction,Auditorium,Screen,00:01:07,Interacted with Screen
João Vitor Sousa,1,2024-01-14 00:00:51,interaction,Auditorium,Chair1,00:00:51,Interacted with Chair1
João Vitor Sousa,1,2024-01-16 00:01:17,movement,Classroom,,00:01:17,Moved from Auditorium to Classroom
João Vitor Sousa,1,2024-01-16 00:02:18,interaction,Classroom,Desk,00:01:01,Interacted with Desk
João Vitor Sousa,1,2024-01-17 00:01:08,movement,Auditorium,,00:01:08,Moved from Classroom to Auditorium
João Vitor Sousa,1,2024-01-17 00:01:54,interaction,Auditorium,Chair1,00:00:46,Interacted with Chair1
João Vitor Sousa,1,2024-01-19 00:02:14,movement,Café,,00:02:14,Moved from Auditorium to Café
João Vitor Sousa,1,2024-01-19 00:02:54,interaction,Café,Table,00:00:40,Interacted with Table
João Vitor Sousa,1,2024-01-20 00:02:01,movement,Auditorium,,00:02:01,Moved from Café to Auditorium
João Vitor Sousa,1,2024-01-20 00:03:00,interaction,Auditorium,Screen,00:00:59,Interacted with Screen
João Vitor Sousa,1,2024-01-22 00:03:38,movement,Classroom,,00:03:38,Moved from Auditorium to Classroom
João Vitor Sousa,1,2024-01-22 00:04:56,interaction,Classroom,Computer,00:01:18,Interacted with Computer
João Vitor Sousa,1,2024-01-24 00:04:14,movement,Auditorium,,00:04:14,Moved from Classroom to Auditorium
João Vitor Sousa,1,2024-01-24 00:05:09,interaction,Auditorium,Hand,00:00:55,Interacted with Hand
João Vitor Sousa,1,2024-01-25 00:01:30,interaction,Auditorium,Hand,00:01:30,Interacted with Hand
João Vitor Sousa,1,2024-01-26 00:00:46,interaction,Auditorium,Hand,00:00:46,Interacted with Hand
João Vitor Sousa,1,2024-01-27 00:01:20,interaction,Auditorium,Hand,00:01:20,Interacted with Hand
João Vitor Sousa,1,2024-01-31 00:01:13,interaction,Auditorium,Hand,00:01:13,Interacted with Hand
João Vitor Sousa,1,2024-02-02 00:02:04,movement,Café,,00:02:04,Moved from Auditorium to Café
João Vitor Sousa,1,2024-02-02 00:03:11,interaction,Café,Chair2,00:01:07,Interacted with Chair2
João Vitor Sousa,1,2024-02-05 00:04:16,movement,Auditorium,,00:04:16,Moved from Café to Auditorium
João Vitor Sousa,1,2024-02-05 00:05:37,interaction,Auditorium,Hand,00:01:21,Interacted with Hand
João Vitor Sousa,1,2024-02-07 00:02:21,movement,Classroom,,00:02:21,Moved from Auditorium to Classroom
João Vitor Sousa,1,2024-02-07 00:03:44,interaction,Classroom,Computer,00:01:23,Interacted with Computer
João Vitor Sousa,1,2024-02-09 00:00:47,interaction,Classroom,Computer,00:00:47,Interacted with Computer
João Vitor Sousa,1,2024-02-10 00:01:25,interaction,Classroom,Computer,00:01:25,Interacted with Computer
João Vitor Sousa,1,2024-02-11 00:01:04,interaction,Classroom,Desk,00:01:04,Interacted with Desk
João Vitor Sousa,1,2024-02-12 00:01:57,movement,Café,,00:01:57,Moved from Classroom to Café
João Vitor Sousa,1,2024-02-12 00:02:46,interaction,Café,Chair2,00:00:49,Interacted with Chair2
João Vitor Sousa,1,2024-02-14 00:03:46,movement,Classroom,,00:03:46,Moved from Café to Classroom
João Vitor Sousa,1,2024-02-14 00:04:53,interaction,Classroom,Desk,00:01:07,Interacted with Desk
João Vitor Sousa,1,2024-02-16 00:00:59,interaction,Classroom,Desk,00:00:59,Interacted with Desk
João Vitor Sousa,1,2024-02-18 00:01:29,interaction,Classroom,Book,00:01:29,Interacted with Book
João Vitor Sousa,1,2024-02-19 00:04:09,movement,Café,,00:04:09,Moved from Classroom to Café
João Vitor Sousa,1,2024-02-19 00:04:45,interaction,Café,Chair2,00:00:36,Interacted with Chair2
João Vitor Sousa,1,2024-02-23 00:00:45,interaction,Café,Table,00:00:45,Interacted with Table
