username,Total Interaction Time,Interaction Frequency,Interaction Diversity,Interaction Depth,Engagement Score,Engagement Level
Alexandre da Luz,0.005159986028345523,0.0,1.0,0.06204342403339526,0.005190980958157226,1
Alícia Silva,0.21073382939763116,0.3333333333333333,1.0,0.2511645073433962,0.21116299058940086,2
Ana Carolina Gomes,0.5438889888544302,0.5,1.0,0.9672887978211621,0.5441213256108275,3
Ana Liz Marques,0.20027096542015518,0.3333333333333333,1.0,0.20922951612492693,0.20070675507907731,2
André Fogaça,0.27536860823269155,0.5,1.0,0.16011975971695483,0.2759939411633852,2
Anna Liz Vargas,0.5499433724610222,0.5,1.0,0.9854882022042913,0.5501668482527896,3
Anthony Duarte,0.3240735840469109,0.5,1.0,0.30652633186550265,0.32462763423504376,2
Antônio da Paz,0.19406839759941574,0.3333333333333333,1.0,0.1843697236575289,0.1945081167290019,2
Arthur Miguel da Cruz,0.7119722260444341,0.6666666666666666,1.0,1.0,0.7120942502764833,3
Arthur Miguel da Paz,0.29124019602654616,0.5,1.0,0.20782956194160931,0.29184229990747995,2
Ayla Pastor,0.0,0.0,1.0,0.0,0.0,1
Beatriz Sá,0.3801613091016861,0.3333333333333333,1.0,0.9302271319605296,0.38048313405298073,3
Brayan Abreu,0.20926257184288238,0.3333333333333333,1.0,0.24526773063184606,0.20969266511045806,2
Bruna Borges,0.3858769859330842,0.3333333333333333,1.0,0.9531354731420911,0.3861951898704564,3
Bruno Nogueira,0.1717084581432518,0.3333333333333333,1.0,0.09475144449818014,0.17216234281341417,1
Davi Lucas das Neves,0.28805952771574034,0.5,1.0,0.19826851121236047,0.28866628670134425,2
Davi Luiz Monteiro,0.10575060596758999,0.16666666666666666,1.0,0.19068012319596814,0.1060175956802484,2
Enzo Ribeiro,0.39015315896990804,0.6666666666666666,1.0,0.22609260060579833,0.3909064586473877,2
Esther Porto,0.8087735639361961,0.8333333333333334,1.0,0.8789591128532762,0.8089397353461328,3
Fernanda Farias,0.8412364914211925,0.8333333333333334,1.0,0.9440145595235065,0.841328205847274,3
Fernanda Sales,0.5335796013844639,0.5,1.0,0.9362989029449943,0.5338270265666473,3
Gael Henrique Nogueira,1.0,1.0,1.0,0.9546960281299885,1.0,3
Heloísa Sampaio,0.519973115149719,0.5,1.0,0.8953979687937487,0.5202404542655243,3
Igor Gonçalves,0.0828614371751855,0.16666666666666666,1.0,0.05307099040395043,0.08310492992015683,1
Isaac Cassiano,0.17979508240100767,0.3333333333333333,1.0,0.12716250498468543,0.18024384400702792,1
Isabella Cavalcante,0.9497285053505086,1.0,1.0,0.868344308731714,0.9498557301516753,3
Isabelly Gonçalves,0.07873874064587148,0.16666666666666666,1.0,0.028285437931122388,0.0789780012202467,1
Joana Leão,0.2960455983996105,0.5,1.0,0.22227454374220482,0.2966406692771492,2
João Gabriel Sampaio,0.9793283021264435,1.0,1.0,0.9191880992985683,0.9793806171146906,3
João Pedro Porto,0.2912984112535326,0.5,1.0,0.20800455621452385,0.29190042993288345,2
João Vitor Rios,0.08241688453274341,0.16666666666666666,1.0,0.050398350599435024,0.08265992092042328,1
Kaique Casa Grande,0.29295489907596556,0.5,1.0,0.21298393870746063,0.2935544933830007,2
Laura Aparecida,0.007419795294092742,0.0,1.0,0.08921526204596945,0.007464364413678393,1
Luna da Costa,0.5173005070017042,0.5,1.0,0.887364140809937,0.5175717576447281,3
Lívia Costela,0.7819522211755242,0.8333333333333334,1.0,0.825209356784687,0.7821799100282681,3
Maria Cecília Cassiano,0.3055770187453031,0.5,1.0,0.2509258787894214,0.3061581398000283,2
Maria Clara Camargo,0.2958974141854631,0.5,1.0,0.2218291037747856,0.2964927019397585,2
Maria Eduarda Montenegro,0.19605829990368026,0.3333333333333333,1.0,0.19234522021703543,0.1964967583839749,2
Maria Flor Marques,0.10910591995935519,0.16666666666666666,1.0,0.21085219029195418,0.10937635408299938,2
Maria Júlia Silveira,0.09900293193052277,0.16666666666666666,1.0,0.1501132690202866,0.09926299479143529,1
Mariana Casa Grande,0.18807752151317253,0.3333333333333333,1.0,0.1603583882709294,0.18852103600179587,2
Maya Melo,0.2890491865745102,0.5,1.0,0.20124341385191027,0.28965449713320346,2
Nathan Vasconcelos,0.3864538459095865,0.6666666666666666,1.0,0.21719652811362536,0.3872144021039692,2
Pedro Lucas Jesus,0.39780581517194663,0.6666666666666666,1.0,0.24449563468831942,0.3985441035140304,2
Ravi Fogaça,0.2639372545698953,0.5,1.0,0.12575724794461282,0.2645793179932469,2
Sophie Porto,0.660361781174254,0.6666666666666666,1.0,0.8758876982207854,0.6605850436793196,3
Thiago Leão,0.2584385617663558,0.5,1.0,0.10922824343930573,0.2590886728664999,2
Thomas Cunha,0.11317569355504514,0.16666666666666666,1.0,0.23531957135948287,0.11345030552103648,2
Vitor Moreira,0.16100214867110513,0.3333333333333333,1.0,0.05184072763679254,0.16146281603679077,1
Ágatha da Luz,0.2925209310202483,0.5,1.0,0.21167943594573274,0.29312116046635656,2
